form	wsafter	testid
Be	" "	p1
fog	" "	.
következni	" "	v1
,	" "	.
mert	" "	.
be	" "	p2
kell	" "	.
következzék	" "	v2
az	" "	.
immár	" "	.
elkerülhetetlen	" "	.
totális	" "	.
civilizációs	" "	.
összeomlás	""	.
.	"\n"	.

S	" "	.
le	" "	p1
is	" "	.
van	" "	.
írva	" "	v1
.	"\n"	.

Jaj	""	.
,	" "	.
annyi	" "	.
a	" "	.
gondom	""	.
,	" "	.
hogy	" "	.
ki	" "	p1
sem	" "	.
látszom	" "	v1
belőle	""	.
.	"\n"	.

Idő	" "	.
kérdése	""	.
,	" "	.
de	" "	.
törvényszerűen	" "	.
alakul	" "	v1
majd	" "	.
ki	" "	p1
végül	" "	.
az	" "	.
a	" "	.
bizonyos	" "	.
új	" "	.
istenű	" "	.
és	" "	.
új	" "	.
módon	" "	.
értelmes	" "	.
világ	""	.
,	" "	.
aminek	" "	.
el	" "	p2
kell	" "	.
jönnie	" "	v2
...	"\n"	.

Menne	" "	.
ő	" "	.
is	" "	.
szívesen	" "	.
(	""	.
miként	" "	.
azt	" "	.
később	" "	.
meg	" "	p1
is	" "	.
teszi	" "	v1
)	""	.
,	" "	.
de	" "	.
egyelőre	" "	.
még	" "	.
szerve	" "	.
zési	" "	.
feladatai	" "	.
vannak	""	.
.	"\n"	.

A	" "	.
nézőt	" "	.
valahogy	" "	.
meg	" "	p1
kell	" "	.
tartani	" "	v1
.	"\n"	.

Melyhez	" "	.
mintha	" "	.
már	" "	.
hozzá	" "	p1
is	" "	.
szoktunk	" "	v1
volna	""	.
,	" "	.
mely	" "	.
nélkül	" "	.
mintha	" "	.
már	" "	.
létezni	" "	.
sem	" "	.
tudnánk	""	.
.	"\n"	.

Mondták	""	.
,	" "	.
hogy	" "	.
meg	" "	p1
van	" "	.
igézve	" "	v1
.	"\n"	.

Előbb	" "	.
a	" "	.
kapuig	" "	.
mehettem	" "	.
el	" "	.
vele	""	.
,	" "	.
majd	" "	.
később	" "	.
be	" "	p1
is	" "	.
invitált	" "	v1
.	"\n"	.

-	" "	.
Vagyis	" "	.
valamennyi	" "	.
idegent	" "	.
ebben	" "	.
a	" "	.
faluban	" "	.
sürgősen	" "	.
meg	" "	p1
kell	" "	.
semmisítenünk	" "	v1
,	" "	.
még	" "	.
mielőtt	" "	.
észrevennének	""	.
.	"\n"	.

És	" "	.
megint	" "	.
csak	" "	.
hosszú	" "	.
ideig	" "	.
nem	" "	.
tartottam	" "	.
lehetségesnek	""	.
,	" "	.
hogy	" "	.
bekövetkezzék	""	.
,	" "	.
aminek	" "	.
pedig	" "	.
minden	" "	.
józan	" "	.
emberi	" "	.
számítás	" "	.
szerint	" "	.
be	" "	p1
kellett	" "	.
következnie	" "	v1
.	"\n"	.

Hatalmasat	" "	.
ugrott	" "	.
előre	""	.
,	" "	.
egész	" "	.
testével	" "	.
erőlködve	""	.
,	" "	.
megfeszítve	" "	.
magát	""	.
,	" "	.
kockáztatva	" "	.
a	" "	.
móka	" "	.
kimenetelét	""	.
,	" "	.
de	" "	.
be	" "	p1
kellett	" "	.
látnia	" "	v1
,	" "	.
hogy	" "	.
most	" "	.
csakugyan	" "	.
nincs	" "	.
menekvés	""	.
,	" "	.
a	" "	.
csomók	" "	.
szakszerűen	""	.
,	" "	.
precízen	" "	.
tartják	""	.
,	" "	.
a	" "	.
játékot	" "	.
végig	" "	p2
kell	" "	.
játszania	" "	v2
.	"\n"	.

-	" "	.
Tessék	" "	.
csak	" "	.
papizgatni	""	.
,	" "	.
kisasszonyka	""	.
!	" "	.

Föl	" "	p1
kell	" "	.
épülnie	" "	v1
!	"\n"	.

Nem	" "	.
gazdagít	""	.
,	" "	.
megdolgoztat	""	.
,	" "	.
de	" "	.
meg	" "	p1
is	" "	.
adja	" "	v1
az	" "	.
ünnepet	""	.
.	"\n"	.

Akkor	" "	.
Fehérlófia	" "	.
önkéntelenül	" "	.
magához	" "	.
ölelte	" "	.
És	" "	.
mintha	" "	.
nem	" "	.
is	" "	.
ő	" "	.
tenné	" "	.
megcsókolta	" "	.
Krisztina	" "	.
száját	" "	.
Sután	" "	.
ügyetlenül	" "	.
mert	" "	.
összekoccant	" "	.
a	" "	.
foguk	" "	.
Rögtön	" "	.
elengedte	" "	.
hátra	" "	p1
is	" "	.
lépett	" "	v1
tőle	" "	.
Zavarában	" "	.
el	" "	p2
sem	" "	.
búcsúzott	" "	v2
szaladt	" "	.
vissza	" "	p3
se	" "	.
nézve	" "	v3
Megcsókoltam	" "	.
ismételte	" "	.
ujjongva	" "	.
magában	" "	.
Megcsókoltam	" "	.
igen	" "	.
itt	" "	.
maradunk	" "	.
a	" "	.
hazában	" "	.
Együtt	" "	.
a	" "	.
hazában	" "	.
édes	" "	.
vagy	" "	.
édes	" "	.
édes	"\n"	.
Ezt	" "	.
persze	" "	.
el	" "	p4
lehetne	" "	.
nem-költői	" "	.
módon	" "	.
is	" "	.
mondani	" "	v4
,	" "	.
de	" "	.
mennyivel	" "	.
nagyobb	" "	.
dolog	""	.
,	" "	.
ha	" "	.
ez	" "	.
költői	" "	.
megfogalmazást	" "	.
kap	""	.
.	" "	.

"	"\n"	.
Ottan	" "	.
aztán	" "	.
meg	" "	p1
sem	" "	.
állva	" "	v1
?	"\n"	.

Akkor	" "	.
most	" "	.
el	" "	p1
fogja	" "	.
kaparni	" "	v1
.	"\n"	.

Továbbá	" "	.
föl	" "	p1
fog	" "	.
kelni	" "	v1
a	" "	.
nap	""	.
,	" "	.
a	" "	.
fű	" "	.
sárgásan	" "	.
izzani	" "	.
kezd	""	.
,	" "	.
s	" "	.
a	" "	.
távolban	" "	.
a	" "	.
város	" "	.
fölött	""	.
,	" "	.
az	" "	.
öttízes	" "	.
és	" "	.
az	" "	.
öthúszas	" "	.
fölött	" "	.
a	" "	.
kéményekből	" "	.
mint	" "	.
távozó	" "	.
nagy	" "	.
halak	" "	.
úsznak	" "	.
elő	" "	.
a	" "	.
koszosabbnál	" "	.
koszosabb	" "	.
lila	" "	.
felhők	""	.
.	"\n"	.

Nem	" "	.
ártott	" "	.
volna	""	.
,	" "	.
ha	" "	.
a	" "	.
mészégető	" "	.
pár	" "	.
nappal	" "	.
hamarabb	" "	.
érkezik	""	.
.	" "	.

Be	" "	p1
lehetett	" "	.
volna	" "	.
durrantani	" "	v1
a	" "	.
vendégek	" "	.
fogadására	" "	.
szánt	" "	.
szobába	""	.
.	"\n"	.

Később	" "	.
tudtam	" "	v1
csak	" "	.
meg	" "	p1
,	" "	.
hogy	" "	.
a	" "	.
partraszállás	" "	.
óta	" "	.
Playa	" "	.
Giron	" "	.
nem	" "	.
kizárólag	" "	.
fürdőtelep	""	.
,	" "	.
hanem	" "	.
halászati	" "	.
iskolaközpont	" "	.
is	""	.
.	"\n"	.

De	" "	.
a	" "	.
halált	" "	.
-	" "	.
az	" "	.
elnyújtható	" "	.
ravaszkodások	" "	.
